mean_score,total_steps,std_score,max_score,min_score
-16.411121368408203,488,0.0,-16.411121368408203,-16.411121368408203
-18.48056411743164,608,0.0,-18.48056411743164,-18.48056411743164
-15.676530838012695,932,0.0,-15.676530838012695,-15.676530838012695
-20.552509307861328,1036,0.0,-20.552509307861328,-20.552509307861328
-11.239164352416992,1200,0.0,-11.239164352416992,-11.239164352416992
-16.96009063720703,1244,0.0,-16.96009063720703,-16.96009063720703
-19.669334411621094,1256,0.0,-19.669334411621094,-19.669334411621094
-31.89354705810547,1656,0.0,-31.89354705810547,-31.89354705810547
-9.78672695159912,1724,0.0,-9.78672695159912,-9.78672695159912
-16.45891571044922,2164,0.0,-16.45891571044922,-16.45891571044922
-19.215375900268555,2360,0.0,-19.215375900268555,-19.215375900268555
-12.460807800292969,2528,0.0,-12.460807800292969,-12.460807800292969
-19.91087913513184,2948,0.0,-19.91087913513184,-19.91087913513184
-10.312347412109377,2992,0.0,-10.312347412109377,-10.312347412109377
-16.69059181213379,3064,0.0,-16.69059181213379,-16.69059181213379
-12.91602897644043,3224,0.0,-12.91602897644043,-12.91602897644043
-23.272544860839844,3708,0.0,-23.272544860839844,-23.272544860839844
-13.517139434814451,3860,0.0,-13.517139434814451,-13.517139434814451
-13.551986694335938,4056,0.0,-13.551986694335938,-13.551986694335938
-6.366809844970703,4324,0.0,-6.366809844970703,-6.366809844970703
-11.216754913330078,4452,0.0,-11.216754913330078,-11.216754913330078
-19.506860733032227,4680,0.0,-19.506860733032227,-19.506860733032227
-17.696208953857422,4840,0.0,-17.696208953857422,-17.696208953857422
-15.282716751098633,5028,0.0,-15.282716751098633,-15.282716751098633
-18.36596298217773,5048,0.0,-18.36596298217773,-18.36596298217773
-16.071250915527344,5548,0.0,-16.071250915527344,-16.071250915527344
-16.574209213256836,5660,0.0,-16.574209213256836,-16.574209213256836
-14.865997314453123,5672,0.0,-14.865997314453123,-14.865997314453123
-19.12830924987793,5876,0.0,-19.12830924987793,-19.12830924987793
-20.514930725097656,6300,0.0,-20.514930725097656,-20.514930725097656
-15.366239547729492,6564,0.0,-15.366239547729492,-15.366239547729492
