Wall time,Step,Value
1741161671.7939415,428,-15.69447135925293
1741161671.8664339,604,-18.67812156677246
1741161672.0294385,1020,-20.02355194091797
1741161672.0484416,1068,-20.47698402404785
1741161672.1423185,1316,-16.29761505126953
1741161672.1513197,1340,-14.203605651855469
1741161672.2183237,1520,-24.606475830078125
1741161672.2846963,1692,-19.2496395111084
1741161672.3286567,1804,-14.127314567565918
1741161672.5089996,2288,-12.446449279785156
1741161672.5289986,2340,-21.24797821044922
1741161672.5989995,2524,-2.0048723220825195
1741161672.7149096,2820,-16.44894027709961
1741161672.7719064,2972,-16.21274185180664
1741161672.773908,2976,-17.022401809692383
1741161672.8749144,3240,-13.634567260742188
1741161673.0650914,3744,-16.730884552001953
1741161673.0820882,3788,-15.860816955566406
1741161673.134929,3928,-17.983753204345703
1741161673.1751313,4028,-16.882099151611328
1741161673.2866344,4304,-15.364015579223633
1741161673.3940308,4584,-15.730890274047852
1741161673.4000325,4596,-18.610126495361328
1741161673.4478817,4724,-18.84481430053711
1741161673.538062,4964,-14.882627487182617
1741161673.6469994,5256,-13.45855712890625
1741161673.6680024,5312,-18.052215576171875
1741161673.8015988,5656,-11.928923606872559
1741161673.833591,5740,-19.41640281677246
1741161673.8615913,5816,-13.468685150146484
1741161673.9275908,5988,-14.861727714538574
1741161674.012787,6208,-9.96628189086914
1741161674.1097877,6468,-17.840669631958008
1741161674.1187875,6488,-12.602371215820312
1741161674.2237945,6772,-13.39339828491211
1741161674.4149096,7288,-17.09808349609375
1741161674.4639096,7420,-12.385494232177734
1741161674.4759102,7452,-20.022624969482422
1741161674.5599117,7676,-15.282953262329102
1741161674.62091,7840,-13.33159065246582
1741161674.6709096,7976,-17.361209869384766
1741161676.8841095,8204,-18.776145935058594
1741161676.9791088,8452,-12.619970321655273
1741161677.0921502,8728,-20.223554611206055
1741161677.095149,8732,-12.242179870605469
1741161677.2505956,9112,-16.337974548339844
1741161677.352292,9340,-20.90959358215332
1741161677.4640865,9572,-12.42353630065918
1741161677.738902,10244,-10.164885520935059
1741161677.7619042,10300,-12.393148422241211
1741161677.8519037,10500,-17.16584014892578
1741161677.9939032,10820,-16.056842803955078
1741161678.0379019,10944,-12.113895416259766
1741161678.0469022,10968,-14.283199310302734
1741161678.2419028,11448,-17.39188003540039
1741161678.2529037,11472,-15.593402862548828
1741161678.266904,11508,-14.707717895507812
1741161678.2929034,11568,-12.050073623657227
1741161678.340506,11692,-11.234770774841309
1741161678.408496,11868,-10.003128051757812
1741161678.4234962,11900,-12.028297424316406
1741161678.4304965,11912,-16.425216674804688
1741161678.5033693,12056,-18.568126678466797
1741161678.53137,12104,-12.206676483154297
1741161678.5683696,12164,-15.439071655273438
1741161678.7106712,12448,-11.700069427490234
1741161678.8686647,12776,-17.941267013549805
1741161679.1685615,13440,-11.425542831420898
1741161679.2105598,13540,-22.970684051513672
1741161679.3065612,13752,-22.594398498535156
1741161679.3542533,13848,-18.85284423828125
1741161679.4330566,14004,-15.103679656982422
1741161679.9503572,14988,-22.82858657836914
1741161679.9843605,15064,-13.683610916137695
1741161680.102365,15328,-22.89154815673828
1741161680.2461143,15584,-16.896520614624023
1741161680.5897758,16312,-13.631243705749512
1741161683.192498,16408,-15.086601257324219
1741161683.38111,16796,-15.652311325073242
1741161683.420108,16868,-9.875185012817383
1741161683.5871072,17228,-16.570980072021484
1741161683.8907928,17852,-18.882789611816406
1741161683.9047928,17876,-13.760019302368164
1741161683.9550018,17968,-15.03731918334961
1741161684.0546892,18144,-17.9680233001709
1741161684.0856886,18216,-21.278331756591797
1741161684.2018547,18452,-10.267784118652344
1741161684.2580602,18572,-14.119499206542969
1741161684.285061,18624,-17.734046936035156
1741161684.6107304,19260,-25.018901824951172
1741161684.8417597,19680,-15.878950119018555
1741161685.034145,20020,-19.169710159301758
1741161685.094144,20148,-16.953367233276367
1741161685.1461453,20244,-16.32765007019043
