Wall time,Step,Value
1741175778.3656082,412,-16.55242347717285
1741175778.4347794,556,-22.413846969604492
1741175778.598338,908,-16.784263610839844
1741175778.609338,936,-16.82429313659668
1741175778.7712824,1280,-26.217540740966797
1741175778.7882895,1316,-14.614952087402344
1741175778.8424263,1436,-17.073575973510742
1741175778.974328,1732,-25.283803939819336
1741175779.0213268,1840,-16.572742462158203
1741175779.195247,2232,-15.077972412109375
1741175779.2162435,2276,-14.278347969055176
1741175779.2872484,2472,-16.58231544494629
1741175779.5089724,2988,-14.264798164367676
1741175779.5809731,3172,-20.99767303466797
1741175779.588974,3188,-21.72139549255371
1741175779.6865377,3392,-18.943832397460938
1741175779.9779713,3988,-22.526887893676758
1741175779.99998,4036,-12.34946060180664
1741175780.0579793,4168,-14.041486740112305
1741175780.1239734,4316,-12.13985824584961
1741175780.2459717,4620,-14.45930290222168
1741175780.3396091,4840,-18.05963134765625
1741175780.435444,5028,-16.828536987304688
1741175780.513678,5212,-15.07678508758545
1741175780.6226764,5472,-15.220916748046875
1741175780.632677,5496,-27.31062889099121
1741175780.8712673,6040,-17.028596878051758
1741175780.9282868,6196,-9.400728225708008
1741175780.9542866,6252,-24.588424682617188
1741175781.0262878,6428,-19.411598205566406
1741175781.1426437,6712,-18.600744247436523
1741175781.27964,7032,-23.746610641479492
1741175781.4092467,7312,-24.236743927001953
1741175781.6361158,7860,-19.570655822753906
1741175781.7085414,8024,-16.420635223388672
1741175781.7615418,8136,-23.35814094543457
1741175784.194548,8324,-19.469526290893555
1741175784.2465477,8456,-15.079113960266113
1741175784.2735474,8512,-16.365034103393555
1741175784.3611372,8736,-19.28864097595215
1741175784.481262,9032,-16.734830856323242
1741175784.5842633,9256,-17.22346305847168
1741175784.6032624,9288,-18.566556930541992
1741175784.796511,9660,-14.738998413085938
1741175784.9235916,9916,-16.989398956298828
1741175785.0285928,10144,-8.577644348144531
1741175785.3983965,10888,-20.234004974365234
1741175785.4433982,10976,-14.498015403747559
1741175785.5648017,11232,-15.296757698059082
1741175785.8157787,11724,-16.656606674194336
1741175785.8157787,11724,-14.247949600219727
1741175785.8677707,11820,-13.772259712219238
1741175786.0607708,12232,-11.175100326538086
1741175786.1369123,12384,-25.916532516479492
1741175786.1409135,12392,-11.36854076385498
1741175786.196912,12508,-14.98505973815918
1741175786.2645483,12656,-19.914926528930664
1741175786.2705472,12664,-13.514387130737305
1741175786.2735472,12668,-6.731775283813477
1741175786.4001553,12924,-11.005887985229492
1741175786.4206672,12960,-8.573187828063965
1741175786.4846702,13080,-16.219703674316406
1741175786.6156673,13328,-10.888289451599121
1741175786.7563388,13596,-15.911979675292969
1741175787.0223305,14124,-13.519558906555176
1741175787.0723324,14220,-10.411094665527344
1741175787.3093312,14692,-16.739620208740234
1741175787.3577156,14788,-16.267179489135742
1741175787.781304,15680,-19.70652961730957
1741175787.9558702,16008,-14.806968688964844
1741175788.0878735,16244,-14.99273681640625
1741175791.2543368,16828,-16.743879318237305
1741175791.2863355,16896,-9.423151969909668
1741175791.5572429,17416,-14.687610626220703
1741175791.6472142,17584,-11.381490707397461
1741175791.7718873,17816,-15.423986434936523
1741175792.1245713,18496,-17.581626892089844
1741175792.1655638,18572,-12.535669326782227
1741175792.1975672,18636,-10.852169036865234
1741175792.3155644,18860,-18.304340362548828
1741175792.3651648,18948,-21.006837844848633
1741175792.5031722,19212,-15.314428329467773
1741175792.5451663,19284,-16.936222076416016
1741175792.5961666,19376,-17.027816772460938
1741175792.9103656,19976,-20.674484252929688
1741175793.2119596,20564,-13.195676803588867
1741175793.3925173,20900,-11.205602645874023
1741175793.471809,21024,-20.163286209106445
1741175793.5668101,21212,-10.87492847442627
1741175793.5968075,21264,-15.260448455810547
1741175793.7089586,21460,-20.62493896484375
1741175793.9739575,21928,-15.084075927734375
1741175794.0445027,22044,-26.68211555480957
1741175794.2546487,22416,-15.178655624389648
1741175794.4938045,22872,-13.36036491394043
1741175794.508265,22900,-18.358722686767578
1741175794.688472,23208,-16.906709671020508
1741175794.76171,23336,-12.186201095581055
1741175794.8373058,23488,-9.02528190612793
1741175795.0462873,23868,-10.053323745727539
1741175795.0612955,23892,-11.401754379272461
1741175795.2112834,24152,-11.39506721496582
1741175795.3549888,24408,-18.272634506225586
1741175798.4354935,24820,-14.553483963012695
1741175798.6674924,25284,-25.462615966796875
1741175798.9587362,25852,-13.584104537963867
1741175799.0427418,26004,-23.211872100830078
1741175799.0977354,26124,-15.405447959899902
1741175799.302736,26524,-18.549230575561523
1741175799.3732886,26656,-15.409957885742188
1741175799.60639,27120,-8.27479362487793
1741175799.852084,27604,-9.110645294189453
1741175800.0644894,27996,-12.481376647949219
1741175800.131806,28136,-12.342004776000977
1741175800.2943158,28428,-1.6106562614440918
1741175800.4180243,28644,-18.859111785888672
1741175800.657399,29084,-16.424320220947266
1741175800.9952655,29668,-16.804378509521484
1741175801.0932665,29840,-12.32094669342041
1741175801.2142668,30060,-21.143836975097656
1741175801.4825802,30552,-11.349981307983398
1741175801.585577,30756,-11.81395435333252
1741175801.6285243,30836,-13.925597190856934
1741175801.6395237,30856,-15.52459716796875
1741175801.7927382,31140,-8.205123901367188
1741175801.852737,31252,-17.253742218017578
1741175802.164036,31820,-9.706802368164062
1741175802.2800345,32044,-16.714298248291016
1741175802.508351,32436,-15.721052169799805
1741175805.5620654,32792,-7.832102298736572
1741175805.567522,32800,-18.10732650756836
1741175805.6351213,32932,-13.522804260253906
1741175805.9102156,33472,-14.372611045837402
1741175806.0702164,33792,-18.029621124267578
