Wall time,Step,Value
1741170828.2924035,488,-16.411121368408203
1741170828.3449981,608,-18.48056411743164
1741170828.4786332,932,-15.676530838012695
1741170828.5206313,1036,-20.552509307861328
1741170828.5856307,1200,-11.239164352416992
1741170828.6026316,1244,-16.96009063720703
1741170828.6086316,1256,-19.669334411621094
1741170828.7697139,1656,-31.89354705810547
1741170828.7992623,1724,-9.786726951599121
1741170828.9727805,2164,-16.45891571044922
1741170829.0495207,2360,-19.215375900268555
1741170829.1162167,2528,-12.460807800292969
1741170829.2851765,2948,-19.910879135131836
1741170829.3041763,2992,-10.312347412109375
1741170829.3317592,3064,-16.69059181213379
1741170829.3937604,3224,-12.91602897644043
1741170829.5812268,3708,-23.272544860839844
1741170829.6462886,3860,-13.517139434814453
1741170829.7332714,4056,-13.551986694335938
1741170829.8524277,4324,-6.366809844970703
1741170829.905669,4452,-11.216754913330078
1741170829.995662,4680,-19.506860733032227
1741170830.0596557,4840,-17.696208953857422
1741170830.1348922,5028,-15.282716751098633
1741170830.142891,5048,-18.365962982177734
1741170830.3404543,5548,-16.071250915527344
1741170830.3844552,5660,-16.574209213256836
1741170830.3894553,5672,-14.865997314453125
1741170830.469185,5876,-19.12830924987793
1741170830.636811,6300,-20.514930725097656
1741170830.7413886,6564,-15.366239547729492
1741170830.8633857,6872,-16.665966033935547
1741170831.0475402,7348,-18.903854370117188
1741170831.1226554,7552,-23.224153518676758
1741170831.1526566,7632,-22.27977752685547
1741170831.2564576,7900,-15.843290328979492
1741170831.2914565,7984,-15.885942459106445
1741170831.3094563,8032,-12.73031997680664
1741170833.5793772,8248,-18.077547073364258
1741170833.7250168,8596,-20.0564022064209
1741170833.8450868,8872,-18.03717041015625
1741170833.8870008,8956,-15.169637680053711
1741170834.0244446,9252,-18.875076293945312
1741170834.1174474,9440,-12.979330062866211
1741170834.2547188,9732,-15.761415481567383
1741170834.6503274,10588,-18.7172908782959
1741170834.7524955,10788,-21.478416442871094
1741170834.8751116,11008,-17.885295867919922
1741170835.0576153,11376,-20.46747398376465
1741170835.066616,11392,-14.223897933959961
1741170835.1026223,11460,-16.300533294677734
1741170835.3060966,11864,-19.396678924560547
1741170835.357739,11960,-16.65300941467285
1741170835.3797364,12004,-10.737570762634277
1741170835.4407375,12128,-13.813240051269531
1741170835.550744,12344,-14.958783149719238
1741170835.5677376,12376,-16.596141815185547
1741170835.6227376,12488,-12.59688949584961
1741170835.697312,12632,-17.97445297241211
1741170835.7643118,12748,-16.301559448242188
1741170835.908988,13020,-9.940668106079102
1741170836.0660677,13312,-13.002144813537598
1741170836.512769,14188,-19.216522216796875
1741170836.6107702,14372,-13.477319717407227
1741170836.7443166,14620,-28.39308738708496
1741170837.2031481,15432,-14.317325592041016
1741170837.3777637,15744,-18.832305908203125
1741170837.567106,16080,-17.68187713623047
1741170840.7663746,16756,-12.807958602905273
1741170840.8073683,16836,-15.666083335876465
1741170840.9603758,17120,-18.170001983642578
1741170841.0063677,17208,-16.8465518951416
1741170841.1853192,17536,-15.369845390319824
1741170841.4688,18044,-15.930171966552734
1741170841.5117974,18120,-15.61152458190918
1741170841.6377969,18352,-11.201560974121094
1741170841.7646546,18588,-14.225625991821289
1741170841.770656,18596,-13.115985870361328
