mean_score,total_steps,std_score,max_score,min_score
-12.201475143432615,296,0.0,-12.201475143432615,-12.201475143432615
-13.045867919921877,316,0.0,-13.045867919921877,-13.045867919921877
-10.734074592590332,560,0.0,-10.734074592590332,-10.734074592590332
-12.30527400970459,640,0.0,-12.30527400970459,-12.30527400970459
-13.198078155517578,776,0.0,-13.198078155517578,-13.198078155517578
-9.155319213867188,780,0.0,-9.155319213867188,-9.155319213867188
-18.2733097076416,864,0.0,-18.2733097076416,-18.2733097076416
-7.384930610656738,1036,0.0,-7.384930610656738,-7.384930610656738
-9.388362884521484,1140,0.0,-9.388362884521484,-9.388362884521484
-17.52890396118164,1384,0.0,-17.52890396118164,-17.52890396118164
-9.672548294067385,1444,0.0,-9.672548294067385,-9.672548294067385
-17.865388870239258,1596,0.0,-17.865388870239258,-17.865388870239258
-19.46750259399414,1832,0.0,-19.46750259399414,-19.46750259399414
-8.836230278015137,1864,0.0,-8.836230278015137,-8.836230278015137
-15.828496932983398,1896,0.0,-15.828496932983398,-15.828496932983398
-8.934050559997559,2008,0.0,-8.934050559997559,-8.934050559997559
-14.472417831420898,2440,0.0,-14.472417831420898,-14.472417831420898
-8.839995384216309,2468,0.0,-8.839995384216309,-8.839995384216309
-5.916228771209717,2580,0.0,-5.916228771209717,-5.916228771209717
-14.28565788269043,2820,0.0,-14.28565788269043,-14.28565788269043
-13.804977416992188,2892,0.0,-13.804977416992188,-13.804977416992188
-11.264690399169922,3004,0.0,-11.264690399169922,-11.264690399169922
-9.05955696105957,3168,0.0,-9.05955696105957,-9.05955696105957
-14.9210205078125,3316,0.0,-14.9210205078125,-14.9210205078125
-13.933950424194336,3372,0.0,-13.933950424194336,-13.933950424194336
-13.55260181427002,3680,0.0,-13.55260181427002,-13.55260181427002
-14.277779579162598,3760,0.0,-14.277779579162598,-14.277779579162598
-7.900793552398682,3764,0.0,-7.900793552398682,-7.900793552398682
-13.511003494262695,3960,0.0,-13.511003494262695,-13.511003494262695
-9.342429161071776,4280,0.0,-9.342429161071776,-9.342429161071776
-11.350061416625977,4508,0.0,-11.350061416625977,-11.350061416625977
-15.71992301940918,4788,0.0,-15.71992301940918,-15.71992301940918
-15.15170669555664,4872,0.0,-15.15170669555664,-15.15170669555664
-8.951211929321289,4928,0.0,-8.951211929321289,-8.951211929321289
-14.029151916503906,5044,0.0,-14.029151916503906,-14.029151916503906
-8.988614082336426,5184,0.0,-8.988614082336426,-8.988614082336426
-11.226300239562988,5188,0.0,-11.226300239562988,-11.226300239562988
-7.559896469116211,5356,0.0,-7.559896469116211,-7.559896469116211
-9.581003189086914,5688,0.0,-9.581003189086914,-9.581003189086914
-12.076107025146484,5776,0.0,-12.076107025146484,-12.076107025146484
-9.976930618286133,5784,0.0,-9.976930618286133,-9.976930618286133
-10.134873390197754,6028,0.0,-10.134873390197754,-10.134873390197754
-10.900691986083984,6128,0.0,-10.900691986083984,-10.900691986083984
-10.963590621948242,6268,0.0,-10.963590621948242,-10.963590621948242
-7.924065113067627,6812,0.0,-7.924065113067627,-7.924065113067627
-12.178010940551758,6888,0.0,-12.178010940551758,-12.178010940551758
-14.25881004333496,7068,0.0,-14.25881004333496,-14.25881004333496
-7.706308841705322,7312,0.0,-7.706308841705322,-7.706308841705322
-12.373213768005373,7332,0.0,-12.373213768005373,-12.373213768005373
-14.196334838867188,7344,0.0,-14.196334838867188,-14.196334838867188
-14.560661315917969,7568,0.0,-14.560661315917969,-14.560661315917969
-11.46715259552002,7616,0.0,-11.46715259552002,-11.46715259552002
-10.029077529907228,7636,0.0,-10.029077529907228,-10.029077529907228
-8.911750793457031,7740,0.0,-8.911750793457031,-8.911750793457031
-13.169425964355469,7816,0.0,-13.169425964355469,-13.169425964355469
-15.881072998046877,7916,0.0,-15.881072998046877,-15.881072998046877
-12.645064353942873,8004,0.0,-12.645064353942873,-12.645064353942873
-8.263935089111328,8088,0.0,-8.263935089111328,-8.263935089111328
-13.067221641540527,8120,0.0,-13.067221641540527,-13.067221641540527
-8.823467254638672,8300,0.0,-8.823467254638672,-8.823467254638672
-14.596728324890137,8528,0.0,-14.596728324890137,-14.596728324890137
-14.416177749633787,8984,0.0,-14.416177749633787,-14.416177749633787
-13.299993515014648,9184,0.0,-13.299993515014648,-13.299993515014648
-10.946809768676758,9216,0.0,-10.946809768676758,-10.946809768676758
-0.0168395042419433,9768,0.0,-0.0168395042419433,-0.0168395042419433
-14.991962432861328,9968,0.0,-14.991962432861328,-14.991962432861328
-15.279086112976074,10124,0.0,-15.279086112976074,-15.279086112976074
-15.396268844604492,10544,0.0,-15.396268844604492,-15.396268844604492
-16.754146575927734,10636,0.0,-16.754146575927734,-16.754146575927734
-9.245838165283203,10804,0.0,-9.245838165283203,-9.245838165283203
-6.298325538635254,10860,0.0,-6.298325538635254,-6.298325538635254
-12.36917781829834,11480,0.0,-12.36917781829834,-12.36917781829834
-10.846668243408203,11504,0.0,-10.846668243408203,-10.846668243408203
-7.636382579803467,11552,0.0,-7.636382579803467,-7.636382579803467
-14.130558013916016,11732,0.0,-14.130558013916016,-14.130558013916016
