mean_score,total_steps,std_score,max_score,min_score
-16.17072868347168,384,0.0,-16.17072868347168,-16.17072868347168
-13.756776809692385,548,0.0,-13.756776809692385,-13.756776809692385
-16.27812957763672,900,0.0,-16.27812957763672,-16.27812957763672
-13.552356719970703,1000,0.0,-13.552356719970703,-13.552356719970703
-21.2530574798584,1320,0.0,-21.2530574798584,-21.2530574798584
-15.30793285369873,1372,0.0,-15.30793285369873,-15.30793285369873
-11.641066551208496,1384,0.0,-11.641066551208496,-11.641066551208496
-15.88296890258789,1648,0.0,-15.88296890258789,-15.88296890258789
-17.712156295776367,1776,0.0,-17.712156295776367,-17.712156295776367
-16.01604461669922,2172,0.0,-16.01604461669922,-16.01604461669922
-18.213266372680664,2268,0.0,-18.213266372680664,-18.213266372680664
-11.254311561584473,2428,0.0,-11.254311561584473,-11.254311561584473
-16.78934097290039,2836,0.0,-16.78934097290039,-16.78934097290039
-11.441012382507324,2940,0.0,-11.441012382507324,-11.441012382507324
-12.355928421020508,2944,0.0,-12.355928421020508,-12.355928421020508
-13.46872329711914,3248,0.0,-13.46872329711914,-13.46872329711914
-12.971317291259766,3748,0.0,-12.971317291259766,-12.971317291259766
-15.367290496826172,3764,0.0,-15.367290496826172,-15.367290496826172
-15.990127563476562,3856,0.0,-15.990127563476562,-15.990127563476562
-10.810914993286133,4012,0.0,-10.810914993286133,-10.810914993286133
-17.107868194580078,4312,0.0,-17.107868194580078,-17.107868194580078
-14.344182968139648,4472,0.0,-14.344182968139648,-14.344182968139648
-15.28615951538086,4612,0.0,-15.28615951538086,-15.28615951538086
-15.533161163330078,4740,0.0,-15.533161163330078,-15.533161163330078
-10.352901458740234,5000,0.0,-10.352901458740234,-10.352901458740234
-8.130029678344727,5248,0.0,-8.130029678344727,-8.130029678344727
-19.77709007263184,5320,0.0,-19.77709007263184,-19.77709007263184
-16.626319885253906,5748,0.0,-16.626319885253906,-16.626319885253906
-14.617265701293944,6000,0.0,-14.617265701293944,-14.617265701293944
-15.690582275390623,6044,0.0,-15.690582275390623,-15.690582275390623
-7.248229503631592,6308,0.0,-7.248229503631592,-7.248229503631592
-14.566262245178224,6512,0.0,-14.566262245178224,-14.566262245178224
-21.1558780670166,6776,0.0,-21.1558780670166,-21.1558780670166
-14.22276782989502,7048,0.0,-14.22276782989502,-14.22276782989502
-14.875791549682615,7384,0.0,-14.875791549682615,-14.875791549682615
-13.945561408996582,7480,0.0,-13.945561408996582,-13.945561408996582
-17.116220474243164,7552,0.0,-17.116220474243164,-17.116220474243164
-13.120500564575195,7776,0.0,-13.120500564575195,-13.120500564575195
-13.929513931274414,7884,0.0,-13.929513931274414,-13.929513931274414
-17.11874008178711,7932,0.0,-17.11874008178711,-17.11874008178711
-16.27129554748535,8192,0.0,-16.27129554748535,-16.27129554748535
-13.848244667053224,8492,0.0,-13.848244667053224,-13.848244667053224
-23.631771087646484,8704,0.0,-23.631771087646484,-23.631771087646484
-14.782308578491213,8708,0.0,-14.782308578491213,-14.782308578491213
-19.36470031738281,8996,0.0,-19.36470031738281,-19.36470031738281
-13.440837860107422,9232,0.0,-13.440837860107422,-13.440837860107422
-23.2160758972168,9380,0.0,-23.2160758972168,-23.2160758972168
-10.27653694152832,10172,0.0,-10.27653694152832,-10.27653694152832
-15.476957321166992,10244,0.0,-15.476957321166992,-15.476957321166992
-21.253442764282227,10484,0.0,-21.253442764282227,-21.253442764282227
-17.48980712890625,10896,0.0,-17.48980712890625,-17.48980712890625
-13.83827018737793,10928,0.0,-13.83827018737793,-13.83827018737793
-11.347394943237305,10960,0.0,-11.347394943237305,-11.347394943237305
-14.100900650024414,11468,0.0,-14.100900650024414,-14.100900650024414
-15.367557525634766,11540,0.0,-15.367557525634766,-15.367557525634766
-15.489419937133787,11568,0.0,-15.489419937133787,-15.489419937133787
-11.000696182250977,11616,0.0,-11.000696182250977,-11.000696182250977
-17.65781021118164,11808,0.0,-17.65781021118164,-17.65781021118164
-14.102987289428713,12012,0.0,-14.102987289428713,-14.102987289428713
-16.41538429260254,12024,0.0,-16.41538429260254,-16.41538429260254
-14.856962203979492,12104,0.0,-14.856962203979492,-14.856962203979492
-10.7203369140625,12232,0.0,-10.7203369140625,-10.7203369140625
-21.846664428710938,12288,0.0,-21.846664428710938,-21.846664428710938
-15.605975151062012,12516,0.0,-15.605975151062012,-15.605975151062012
-15.121570587158203,12740,0.0,-15.121570587158203,-15.121570587158203
-16.93613052368164,13244,0.0,-16.93613052368164,-16.93613052368164
-15.509479522705078,13788,0.0,-15.509479522705078,-15.509479522705078
-12.631841659545898,13976,0.0,-12.631841659545898,-12.631841659545898
-15.114654541015623,14236,0.0,-15.114654541015623,-15.114654541015623
-14.978307723999023,14372,0.0,-14.978307723999023,-14.978307723999023
-9.284701347351074,15328,0.0,-9.284701347351074,-9.284701347351074
-12.569976806640623,15568,0.0,-12.569976806640623,-12.569976806640623
-17.94926643371582,15880,0.0,-17.94926643371582,-17.94926643371582
-19.049785614013672,16436,0.0,-19.049785614013672,-19.049785614013672
-19.67455291748047,16676,0.0,-19.67455291748047,-19.67455291748047
-14.80627155303955,16856,0.0,-14.80627155303955,-14.80627155303955
-8.740180969238281,16952,0.0,-8.740180969238281,-8.740180969238281
-20.14574813842773,17196,0.0,-20.14574813842773,-20.14574813842773
-15.34697723388672,18076,0.0,-15.34697723388672,-15.34697723388672
-14.732229232788086,18144,0.0,-14.732229232788086,-14.732229232788086
-18.18794631958008,18260,0.0,-18.18794631958008,-18.18794631958008
-24.690135955810547,18660,0.0,-24.690135955810547,-24.690135955810547
-19.60686492919922,18700,0.0,-19.60686492919922,-19.60686492919922
