Wall time,Step,Value
1741246939.4248435,316,-15.13162612915039
1741246939.442841,340,-9.592466354370117
1741246939.6123111,636,-10.31657600402832
1741246939.6222627,652,-14.888026237487793
1741246939.7318995,844,-8.868021965026855
1741246939.7408972,856,-8.181097984313965
1741246939.7478976,868,-5.267708778381348
1741246939.870809,1092,-14.287458419799805
1741246939.8908033,1124,-5.78912353515625
1741246940.037802,1388,-9.997883796691895
1741246940.0834856,1472,-10.205945014953613
1741246940.135488,1564,-12.586345672607422
1741246940.2804775,1824,0.9191179275512695
1741246940.3440855,1944,-13.419008255004883
1741246940.3585193,1968,-9.31492805480957
1741246940.4164631,2072,-16.841543197631836
1741246940.6434603,2492,-12.716697692871094
1741246940.696091,2588,-6.269035816192627
1741246940.752836,2692,-12.969135284423828
1741246940.8414624,2852,-11.921600341796875
1741246940.9652357,3056,-13.025875091552734
1741246941.0402956,3184,-7.43303918838501
1741246941.1030433,3292,-10.684025764465332
1741246941.1940434,3456,-14.171225547790527
1741246941.2010434,3468,-8.908868789672852
1741246941.4068167,3848,-18.393260955810547
1741246941.4438145,3916,-8.208198547363281
1741246941.4698143,3964,-17.326770782470703
1741246941.5568142,4124,-9.76447868347168
1741246941.6438222,4284,-13.297172546386719
1741246941.7514524,4472,-7.268500328063965
1741246941.8665054,4684,-17.55858612060547
1741246942.0152063,4960,-14.741056442260742
1741246942.0581908,5040,-9.706974983215332
1741246942.0687053,5056,-10.663777351379395
1741246942.1497033,5208,-8.253389358520508
1741246942.2079225,5316,-14.370339393615723
1741246942.2229166,5344,-13.486831665039062
1741246942.3315234,5544,-13.629338264465332
1741246942.4154644,5700,-11.304849624633789
1741246942.4975774,5852,-9.521956443786621
1741246942.5109913,5876,-11.54183578491211
1741246942.631306,6096,-10.245109558105469
1741246942.7180316,6256,-15.79222297668457
1741246942.7825856,6372,-3.2543179988861084
1741246943.074462,6920,-10.94515609741211
1741246943.1235218,7008,-12.134126663208008
1741246943.208463,7164,-10.759114265441895
1741246943.321275,7368,-18.424583435058594
1741246943.3334708,7388,-9.149468421936035
1741246943.382471,7480,-12.249639511108398
1741246943.57045,7828,-14.068490982055664
1741246943.6289165,7936,-8.820520401000977
1741246943.6289165,7936,-8.256148338317871
1741246943.6884546,8044,-10.456899642944336
1741246943.7584832,8172,-15.189281463623047
1741246945.4745004,8220,-11.04922103881836
1741246945.5415006,8312,-10.029848098754883
1741246945.5865004,8380,-15.232542991638184
1741246945.621506,8428,-14.202184677124023
1741246945.7455227,8608,-9.723249435424805
1741246945.9259753,8880,-10.42523193359375
1741246946.256854,9360,-16.980512619018555
1741246946.3634386,9516,-9.020527839660645
1741246946.4044392,9584,-17.049205780029297
1741246946.7909982,10112,-10.808340072631836
1741246946.904,10276,-15.671789169311523
1741246947.078803,10548,-12.070691108703613
1741246947.3900163,11000,-13.549591064453125
1741246947.4180212,11036,-15.71600341796875
1741246947.5973256,11304,-7.471773147583008
1741246947.6093311,11320,-10.444622993469238
1741246947.7806647,11564,-12.390932083129883
1741246948.0331707,11916,-12.188962936401367
1741246948.0791712,11992,-14.724939346313477
1741246948.0821722,11996,-8.92076587677002
1741246948.2371714,12220,-10.935192108154297
1741246948.2581713,12248,-15.276056289672852
1741246948.4119806,12468,-6.7010931968688965
1741246948.4451368,12512,-11.825057983398438
1741246948.4911392,12568,-10.058568954467773
1741246948.806593,12980,-12.60165023803711
1741246949.0305955,13284,-13.054515838623047
1741246949.2256951,13544,-14.787422180175781
1741246949.292693,13640,-12.430940628051758
1741246949.3332567,13696,-13.379079818725586
1741246949.3862584,13764,-9.162817001342773
1741246949.4292574,13828,-12.42740535736084
1741246949.6642573,14144,-11.751148223876953
1741246949.7709043,14284,-13.46873950958252
1741246949.844528,14384,-10.397037506103516
1741246950.09753,14740,-13.584074020385742
1741246950.0985293,14740,-10.227542877197266
1741246950.2985303,15000,-19.90213394165039
1741246950.3095303,15012,-14.751937866210938
1741246950.3751593,15100,-15.776748657226562
1741246950.5375438,15308,-8.6956205368042
1741246950.6455443,15464,-13.448565483093262
1741246950.7772982,15620,-12.723939895629883
1741246950.9853024,15896,-14.34395980834961
1741246951.1840901,16160,-7.800951957702637
1741246953.5113227,16400,-21.751815795898438
1741246953.6401012,16572,-14.890851974487305
1741246953.687296,16632,-13.720111846923828
1741246953.913147,16928,-13.98828125
1741246953.992147,17044,-18.12942123413086
1741246954.171145,17300,-13.696422576904297
1741246954.37574,17592,-16.235658645629883
1741246954.5087407,17776,-16.047691345214844
1741246954.579742,17876,-11.35499382019043
1741246954.6466205,17968,-14.115471839904785
1741246954.8145175,18196,-9.332704544067383
1741246955.068512,18528,-10.781393051147461
1741246955.3107307,18844,-12.768238067626953
1741246955.4013152,18968,-11.819833755493164
1741246955.4983158,19108,-12.626270294189453
1741246955.6643157,19336,-7.537294387817383
1741246955.9109704,19668,-11.005227088928223
1741246955.9149666,19672,-10.586282730102539
1741246956.0731044,19884,-9.711283683776855
1741246956.1001039,19924,-13.446514129638672
1741246956.2772398,20152,-11.244047164916992
1741246956.4740398,20404,-13.587990760803223
1741246956.6927178,20680,-20.10978889465332
1741246956.8757174,20924,2.0095953941345215
1741246956.890716,20944,-16.08157730102539
