mean_score,total_steps,std_score,max_score,min_score
-16.55242347717285,412,0.0,-16.55242347717285,-16.55242347717285
-22.41384696960449,556,0.0,-22.41384696960449,-22.41384696960449
-16.784263610839844,908,0.0,-16.784263610839844,-16.784263610839844
-16.82429313659668,936,0.0,-16.82429313659668,-16.82429313659668
-26.2175407409668,1280,0.0,-26.2175407409668,-26.2175407409668
-14.614952087402344,1316,0.0,-14.614952087402344,-14.614952087402344
-17.073575973510742,1436,0.0,-17.073575973510742,-17.073575973510742
-25.283803939819336,1732,0.0,-25.283803939819336,-25.283803939819336
-16.572742462158203,1840,0.0,-16.572742462158203,-16.572742462158203
-15.077972412109377,2232,0.0,-15.077972412109377,-15.077972412109377
-14.278347969055176,2276,0.0,-14.278347969055176,-14.278347969055176
-16.58231544494629,2472,0.0,-16.58231544494629,-16.58231544494629
-14.264798164367676,2988,0.0,-14.264798164367676,-14.264798164367676
-20.99767303466797,3172,0.0,-20.99767303466797,-20.99767303466797
-21.72139549255371,3188,0.0,-21.72139549255371,-21.72139549255371
-18.943832397460938,3392,0.0,-18.943832397460938,-18.943832397460938
-22.52688789367676,3988,0.0,-22.52688789367676,-22.52688789367676
-12.34946060180664,4036,0.0,-12.34946060180664,-12.34946060180664
-14.041486740112305,4168,0.0,-14.041486740112305,-14.041486740112305
-12.13985824584961,4316,0.0,-12.13985824584961,-12.13985824584961
-14.45930290222168,4620,0.0,-14.45930290222168,-14.45930290222168
-18.05963134765625,4840,0.0,-18.05963134765625,-18.05963134765625
-16.828536987304688,5028,0.0,-16.828536987304688,-16.828536987304688
-15.07678508758545,5212,0.0,-15.07678508758545,-15.07678508758545
-15.220916748046877,5472,0.0,-15.220916748046877,-15.220916748046877
-27.31062889099121,5496,0.0,-27.31062889099121,-27.31062889099121
-17.028596878051758,6040,0.0,-17.028596878051758,-17.028596878051758
-9.400728225708008,6196,0.0,-9.400728225708008,-9.400728225708008
-24.588424682617188,6252,0.0,-24.588424682617188,-24.588424682617188
-19.411598205566406,6428,0.0,-19.411598205566406,-19.411598205566406
-18.600744247436523,6712,0.0,-18.600744247436523,-18.600744247436523
-23.74661064147949,7032,0.0,-23.74661064147949,-23.74661064147949
-24.236743927001957,7312,0.0,-24.236743927001957,-24.236743927001957
-19.570655822753903,7860,0.0,-19.570655822753903,-19.570655822753903
-16.420635223388672,8024,0.0,-16.420635223388672,-16.420635223388672
-23.35814094543457,8136,0.0,-23.35814094543457,-23.35814094543457
-19.469526290893555,8324,0.0,-19.469526290893555,-19.469526290893555
-15.079113960266112,8456,0.0,-15.079113960266112,-15.079113960266112
-16.365034103393555,8512,0.0,-16.365034103393555,-16.365034103393555
-19.28864097595215,8736,0.0,-19.28864097595215,-19.28864097595215
-16.734830856323242,9032,0.0,-16.734830856323242,-16.734830856323242
-17.22346305847168,9256,0.0,-17.22346305847168,-17.22346305847168
-18.566556930541992,9288,0.0,-18.566556930541992,-18.566556930541992
-14.738998413085938,9660,0.0,-14.738998413085938,-14.738998413085938
-16.989398956298828,9916,0.0,-16.989398956298828,-16.989398956298828
-8.577644348144531,10144,0.0,-8.577644348144531,-8.577644348144531
-20.234004974365234,10888,0.0,-20.234004974365234,-20.234004974365234
-14.49801540374756,10976,0.0,-14.49801540374756,-14.49801540374756
-15.296757698059082,11232,0.0,-15.296757698059082,-15.296757698059082
-16.656606674194336,11724,0.0,-16.656606674194336,-16.656606674194336
-14.247949600219728,11724,0.0,-14.247949600219728,-14.247949600219728
-13.772259712219238,11820,0.0,-13.772259712219238,-13.772259712219238
-11.175100326538086,12232,0.0,-11.175100326538086,-11.175100326538086
-25.91653251647949,12384,0.0,-25.91653251647949,-25.91653251647949
-11.36854076385498,12392,0.0,-11.36854076385498,-11.36854076385498
-14.98505973815918,12508,0.0,-14.98505973815918,-14.98505973815918
-19.914926528930664,12656,0.0,-19.914926528930664,-19.914926528930664
-13.514387130737305,12664,0.0,-13.514387130737305,-13.514387130737305
-6.731775283813477,12668,0.0,-6.731775283813477,-6.731775283813477
-11.005887985229492,12924,0.0,-11.005887985229492,-11.005887985229492
-8.573187828063965,12960,0.0,-8.573187828063965,-8.573187828063965
-16.219703674316406,13080,0.0,-16.219703674316406,-16.219703674316406
