mean_score,total_steps,std_score,max_score,min_score
-15.69447135925293,428,0.0,-15.69447135925293,-15.69447135925293
-18.67812156677246,604,0.0,-18.67812156677246,-18.67812156677246
-20.02355194091797,1020,0.0,-20.02355194091797,-20.02355194091797
-20.47698402404785,1068,0.0,-20.47698402404785,-20.47698402404785
-16.29761505126953,1316,0.0,-16.29761505126953,-16.29761505126953
-14.203605651855469,1340,0.0,-14.203605651855469,-14.203605651855469
-24.606475830078125,1520,0.0,-24.606475830078125,-24.606475830078125
-19.2496395111084,1692,0.0,-19.2496395111084,-19.2496395111084
-14.127314567565918,1804,0.0,-14.127314567565918,-14.127314567565918
-12.446449279785156,2288,0.0,-12.446449279785156,-12.446449279785156
-21.24797821044922,2340,0.0,-21.24797821044922,-21.24797821044922
-2.0048723220825195,2524,0.0,-2.0048723220825195,-2.0048723220825195
-16.44894027709961,2820,0.0,-16.44894027709961,-16.44894027709961
-16.21274185180664,2972,0.0,-16.21274185180664,-16.21274185180664
-17.022401809692383,2976,0.0,-17.022401809692383,-17.022401809692383
-13.634567260742188,3240,0.0,-13.634567260742188,-13.634567260742188
-16.730884552001953,3744,0.0,-16.730884552001953,-16.730884552001953
-15.860816955566406,3788,0.0,-15.860816955566406,-15.860816955566406
-17.983753204345703,3928,0.0,-17.983753204345703,-17.983753204345703
-16.882099151611328,4028,0.0,-16.882099151611328,-16.882099151611328
-15.364015579223633,4304,0.0,-15.364015579223633,-15.364015579223633
-15.730890274047852,4584,0.0,-15.730890274047852,-15.730890274047852
-18.610126495361328,4596,0.0,-18.610126495361328,-18.610126495361328
-18.84481430053711,4724,0.0,-18.84481430053711,-18.84481430053711
-14.882627487182615,4964,0.0,-14.882627487182615,-14.882627487182615
-13.45855712890625,5256,0.0,-13.45855712890625,-13.45855712890625
-18.052215576171875,5312,0.0,-18.052215576171875,-18.052215576171875
-11.92892360687256,5656,0.0,-11.92892360687256,-11.92892360687256
-19.41640281677246,5740,0.0,-19.41640281677246,-19.41640281677246
-13.468685150146484,5816,0.0,-13.468685150146484,-13.468685150146484
-14.861727714538574,5988,0.0,-14.861727714538574,-14.861727714538574
-9.96628189086914,6208,0.0,-9.96628189086914,-9.96628189086914
-17.840669631958008,6468,0.0,-17.840669631958008,-17.840669631958008
-12.602371215820312,6488,0.0,-12.602371215820312,-12.602371215820312
-13.39339828491211,6772,0.0,-13.39339828491211,-13.39339828491211
-17.09808349609375,7288,0.0,-17.09808349609375,-17.09808349609375
-12.385494232177734,7420,0.0,-12.385494232177734,-12.385494232177734
-20.022624969482425,7452,0.0,-20.022624969482425,-20.022624969482425
-15.282953262329102,7676,0.0,-15.282953262329102,-15.282953262329102
-13.33159065246582,7840,0.0,-13.33159065246582,-13.33159065246582
-17.361209869384766,7976,0.0,-17.361209869384766,-17.361209869384766
-18.776145935058597,8204,0.0,-18.776145935058597,-18.776145935058597
-12.619970321655272,8452,0.0,-12.619970321655272,-12.619970321655272
-20.22355461120605,8728,0.0,-20.22355461120605,-20.22355461120605
-12.242179870605469,8732,0.0,-12.242179870605469,-12.242179870605469
-16.337974548339844,9112,0.0,-16.337974548339844,-16.337974548339844
-20.90959358215332,9340,0.0,-20.90959358215332,-20.90959358215332
-12.42353630065918,9572,0.0,-12.42353630065918,-12.42353630065918
-10.16488552093506,10244,0.0,-10.16488552093506,-10.16488552093506
-12.393148422241213,10300,0.0,-12.393148422241213,-12.393148422241213
-17.16584014892578,10500,0.0,-17.16584014892578,-17.16584014892578
-16.056842803955078,10820,0.0,-16.056842803955078,-16.056842803955078
-12.113895416259766,10944,0.0,-12.113895416259766,-12.113895416259766
-14.283199310302734,10968,0.0,-14.283199310302734,-14.283199310302734
-17.39188003540039,11448,0.0,-17.39188003540039,-17.39188003540039
-15.593402862548828,11472,0.0,-15.593402862548828,-15.593402862548828
-14.707717895507812,11508,0.0,-14.707717895507812,-14.707717895507812
-12.050073623657228,11568,0.0,-12.050073623657228,-12.050073623657228
-11.234770774841309,11692,0.0,-11.234770774841309,-11.234770774841309
-10.003128051757812,11868,0.0,-10.003128051757812,-10.003128051757812
-12.028297424316406,11900,0.0,-12.028297424316406,-12.028297424316406
-16.425216674804688,11912,0.0,-16.425216674804688,-16.425216674804688
-18.5681266784668,12056,0.0,-18.5681266784668,-18.5681266784668
-12.206676483154297,12104,0.0,-12.206676483154297,-12.206676483154297
-15.439071655273438,12164,0.0,-15.439071655273438,-15.439071655273438
-11.700069427490234,12448,0.0,-11.700069427490234,-11.700069427490234
-17.941267013549805,12776,0.0,-17.941267013549805,-17.941267013549805
-11.425542831420898,13440,0.0,-11.425542831420898,-11.425542831420898
-22.970684051513672,13540,0.0,-22.970684051513672,-22.970684051513672
-22.59439849853516,13752,0.0,-22.59439849853516,-22.59439849853516
-18.85284423828125,13848,0.0,-18.85284423828125,-18.85284423828125
-15.103679656982422,14004,0.0,-15.103679656982422,-15.103679656982422
-22.82858657836914,14988,0.0,-22.82858657836914,-22.82858657836914
-13.683610916137695,15064,0.0,-13.683610916137695,-13.683610916137695
-22.89154815673828,15328,0.0,-22.89154815673828,-22.89154815673828
-16.896520614624023,15584,0.0,-16.896520614624023,-16.896520614624023
-13.631243705749512,16312,0.0,-13.631243705749512,-13.631243705749512
-15.08660125732422,16408,0.0,-15.08660125732422,-15.08660125732422
-15.652311325073242,16796,0.0,-15.652311325073242,-15.652311325073242
-9.875185012817385,16868,0.0,-9.875185012817385,-9.875185012817385
-16.570980072021484,17228,0.0,-16.570980072021484,-16.570980072021484
-18.882789611816406,17852,0.0,-18.882789611816406,-18.882789611816406
-13.760019302368164,17876,0.0,-13.760019302368164,-13.760019302368164
-15.03731918334961,17968,0.0,-15.03731918334961,-15.03731918334961
