mean_score,total_steps,std_score,max_score,min_score
-13.212400436401367,452,0.0,-13.212400436401367,-13.212400436401367
-16.73263168334961,544,0.0,-16.73263168334961,-16.73263168334961
-15.375843048095703,884,0.0,-15.375843048095703,-15.375843048095703
-17.601327896118164,1024,0.0,-17.601327896118164,-17.601327896118164
-10.545077323913574,1276,0.0,-10.545077323913574,-10.545077323913574
-16.99288558959961,1292,0.0,-16.99288558959961,-16.99288558959961
-20.15481948852539,1372,0.0,-20.15481948852539,-20.15481948852539
-15.980842590332031,1640,0.0,-15.980842590332031,-15.980842590332031
-16.691770553588867,1812,0.0,-16.691770553588867,-16.691770553588867
-15.787149429321287,2060,0.0,-15.787149429321287,-15.787149429321287
-18.1882438659668,2240,0.0,-18.1882438659668,-18.1882438659668
-27.66507148742676,2344,0.0,-27.66507148742676,-27.66507148742676
-15.87738800048828,2716,0.0,-15.87738800048828,-15.87738800048828
-16.043649673461914,2916,0.0,-16.043649673461914,-16.043649673461914
-20.485990524291992,2936,0.0,-20.485990524291992,-20.485990524291992
-24.705541610717773,3264,0.0,-24.705541610717773,-24.705541610717773
-15.111169815063477,3760,0.0,-15.111169815063477,-15.111169815063477
-9.458259582519531,3896,0.0,-9.458259582519531,-9.458259582519531
-14.478192329406738,4056,0.0,-14.478192329406738,-14.478192329406738
-14.349270820617676,4200,0.0,-14.349270820617676,-14.349270820617676
-28.409847259521484,4616,0.0,-28.409847259521484,-28.409847259521484
-12.881599426269531,4896,0.0,-12.881599426269531,-12.881599426269531
-16.888460159301758,4956,0.0,-16.888460159301758,-16.888460159301758
-23.830026626586918,5088,0.0,-23.830026626586918,-23.830026626586918
-22.98588752746582,5372,0.0,-22.98588752746582,-22.98588752746582
-17.5819091796875,5596,0.0,-17.5819091796875,-17.5819091796875
-21.65532112121582,5636,0.0,-21.65532112121582,-21.65532112121582
-10.318509101867676,6148,0.0,-10.318509101867676,-10.318509101867676
-14.587610244750977,6212,0.0,-14.587610244750977,-14.587610244750977
-16.408370971679688,6212,0.0,-16.408370971679688,-16.408370971679688
0.1056632995605468,6600,0.0,0.1056632995605468,0.1056632995605468
-10.113649368286133,6820,0.0,-10.113649368286133,-10.113649368286133
-14.84641170501709,7032,0.0,-14.84641170501709,-14.84641170501709
-9.039899826049805,7148,0.0,-9.039899826049805,-9.039899826049805
-15.536922454833984,7484,0.0,-15.536922454833984,-15.536922454833984
-12.99338150024414,7816,0.0,-12.99338150024414,-12.99338150024414
-25.313655853271484,7872,0.0,-25.313655853271484,-25.313655853271484
-16.84006118774414,7984,0.0,-16.84006118774414,-16.84006118774414
-15.96988296508789,8184,0.0,-15.96988296508789,-15.96988296508789
-16.188133239746094,8332,0.0,-16.188133239746094,-16.188133239746094
-15.185077667236328,8428,0.0,-15.185077667236328,-15.185077667236328
-12.033512115478516,8760,0.0,-12.033512115478516,-12.033512115478516
-22.506208419799805,9012,0.0,-22.506208419799805,-22.506208419799805
-21.68954086303711,9232,0.0,-21.68954086303711,-21.68954086303711
-10.837709426879885,9268,0.0,-10.837709426879885,-10.837709426879885
-9.56417751312256,9548,0.0,-9.56417751312256,-9.56417751312256
-16.054582595825195,9736,0.0,-16.054582595825195,-16.054582595825195
-14.408305168151855,9960,0.0,-14.408305168151855,-14.408305168151855
-22.215106964111328,10612,0.0,-22.215106964111328,-22.215106964111328
-17.85910415649414,10732,0.0,-17.85910415649414,-17.85910415649414
-19.02769660949707,10952,0.0,-19.02769660949707,-19.02769660949707
-14.370513916015623,11376,0.0,-14.370513916015623,-14.370513916015623
-13.734549522399902,11408,0.0,-13.734549522399902,-13.734549522399902
-12.981700897216797,11424,0.0,-12.981700897216797,-12.981700897216797
-17.381359100341797,11844,0.0,-17.381359100341797,-17.381359100341797
-16.41533851623535,11848,0.0,-16.41533851623535,-16.41533851623535
-7.8252644538879395,11932,0.0,-7.8252644538879395,-7.8252644538879395
-14.7037935256958,12000,0.0,-14.7037935256958,-14.7037935256958
-18.138450622558597,12092,0.0,-18.138450622558597,-18.138450622558597
-16.338191986083984,12260,0.0,-16.338191986083984,-16.338191986083984
-13.259950637817385,12424,0.0,-13.259950637817385,-13.259950637817385
-24.37622833251953,12468,0.0,-24.37622833251953,-24.37622833251953
-12.170515060424805,12532,0.0,-12.170515060424805,-12.170515060424805
-11.942543029785156,12784,0.0,-11.942543029785156,-11.942543029785156
-11.457914352416992,12892,0.0,-11.457914352416992,-11.457914352416992
-13.2620849609375,13116,0.0,-13.2620849609375,-13.2620849609375
